S.No,District,Govt Boys,Govt Girls,Govt Total,Private Aided Boys,Private Aided Girls,Private Aided Total,Private Unaided Boys,Private Unaided Girls,Private Unaided Total,Grand Total Boys,Grand Total Girls,Grand Total 
1,ARIYALUR,37475,36642,74117,8822,12524,21346,20453,14783,35236,66750,63949,130699
2,CHENNAI,45046,54260,99306,80197,93383,173580,244490,222777,467267,369733,370420,740153
3,COIMBATORE,79306,85899,165205,34089,40627,74716,170440,154029,324469,283835,280555,564390
4,CUDDALORE,88116,96313,184429,37567,38850,76417,106990,81252,188242,232673,216415,449088
5,DHARMAPURI,80521,85207,165728,2763,1974,4737,58802,43665,102467,142086,130846,272932
6,DINDIGUL,68987,69790,138777,52373,54952,107325,56922,45629,102551,178282,170371,348653
7,ERODE,72017,76953,148970,17201,18101,35302,85724,73047,158771,174942,168101,343043
8,KANCHEEPURAM,109434,122924,232358,36486,42692,79178,247666,218669,466335,393586,384285,777871
9,KANNIYAKUMARI,30850,29383,60233,38518,48116,86634,86014,76921,162935,155382,154420,309802
10,KARUR,39441,41376,80817,7100,9977,17077,37808,29871,67679,84349,81224,165573
11,KRISHANAGIRI,98028,101366,199394,5896,8299,14195,76376,59596,135972,180300,169261,349561
12,MADURAI,68614,80247,148861,74688,77956,152644,126021,101093,227114,269323,259296,528619
13,NAGAPATTINAM,55456,58816,114272,31631,34314,65945,47214,41281,88495,134301,134411,268712
14,NAMAKKAL,62026,62561,124587,9159,10503,19662,76018,60613,136631,147203,133677,280880
15,PERAMBALUR,23889,25037,48926,6647,6887,13534,25246,18778,44024,55782,50702,106484
16,PUDUKKOTTAI,84316,94625,178941,17836,16377,34213,44936,35124,80060,147088,146126,293214
17,RAMANATHAPURAM,39333,42020,81353,32270,33984,66254,39177,34025,73202,110780,110029,220809
18,SALEM,129360,142711,272071,31024,33984,65008,139326,106071,245397,299710,282766,582476
19,SIVAGANGA,40351,46004,86355,26811,29224,56035,48449,39947,88396,115611,115175,230786
20,THANJAVUR,71114,78347,149461,45985,52869,98854,87579,71270,158849,204678,202486,407164
21,THE NILGIRIS,17100,15652,32752,9646,15062,24708,30441,26065,56506,57187,56779,113966
22,THENI,32283,32813,65096,39578,39999,79577,34009,27648,61657,105870,100460,206330
23,THIRUVALLUR,96724,105514,202238,23533,31938,55471,246739,212757,459496,366996,350209,717205
24,THIRUVARUR,46094,49265,95359,18002,22886,40888,33564,27705,61269,97660,99856,197516
25,THOOTHUKKUDI,26790,32514,59304,70670,75582,146252,52575,42856,95431,150035,150952,300987
26,TIRUCHIRAPPALLI,76762,78276,155038,64021,75534,139555,97824,79328,177152,238607,233138,471745
27,TIRUNELVELI,57591,71565,129156,121206,127982,249188,103665,82647,186312,282462,282194,564656
28,TIRUVANNAMALAI,119384,128587,247971,21693,19631,41324,66178,50070,116248,207255,198288,405543
29,Tiruppur,84649,87359,172008,13453,18333,31786,106192,93236,199428,204294,198928,403222
30,VELLORE,138942,157913,296855,58698,57537,116235,133030,107218,240248,330670,322668,653338
31,VILUPPURAM,162939,176475,339414,32460,33411,65871,106109,79024,185133,301508,288910,590418
32,VIRUDHUNAGAR,55002,56611,111613,69438,76068,145506,43537,35034,78571,167977,167713,335690
Total,State Total,2237940,2423025,4660965,1139461,1259556,2399017,2879514,2392029,5271543,6256915,6074610,12331525
