S.No,District,Primary School Boys,Primary School Girls,Primary School Total,Middle School Boys,Middle School Girls,Middle School Total,High School Boys,High School Girls,High School Total,Hr.Secondary School Boys,Hr.Secondary School Girls,Hr.Secondary School Total,Grand Total Boys,Grand Total Girls,Total Students
1,Ariyalur,19628,17543,37171,7978,7987,15965,12595,10782,23377,26549,27637,54186,66750,63949,130699
2,Chennai,50166,48215,98381,17237,15483,32720,42537,37392,79929,259793,269330,529123,369733,370420,740153
3,Coimbatore,41939,41359,83298,25863,25710,51573,32328,28696,61024,183705,184790,368495,283835,280555,564390
4,Cuddalore,54570,48857,103427,27365,25850,53215,32001,27991,59992,118737,113717,232454,232673,216415,449088
5,Dharmapuri,29001,27928,56929,18231,18596,36827,19215,18130,37345,75639,66192,141831,142086,130846,272932
6,Dindigul,46919,43897,90816,22634,24181,46815,23375,20089,43464,85354,82204,167558,178282,170371,348653
7,Erode,32484,31375,63859,21129,20633,41762,24745,24671,49416,96584,91422,188006,174942,168101,343043
8,Kancheepuram,58647,59843,118490,39754,38133,77887,65113,58201,123314,230072,228108,458180,393586,384285,777871
9,Kanniyakumari,22535,23827,46362,11420,10366,21786,25268,23236,48504,96159,96991,193150,155382,154420,309802
10,Karur,18168,18188,36356,11239,11491,22730,13422,12118,25540,41520,39427,80947,84349,81224,165573
11,Krishanagiri,38974,38900,77874,22509,22294,44803,29918,27346,57264,88899,80721,169620,180300,169261,349561
12,Madurai,57396,54696,112092,30738,30182,60920,26126,21366,47492,155063,153052,308115,269323,259296,528619
13,Nagapattinam,33503,32566,66069,17575,17394,34969,20377,20352,40729,62846,64099,126945,134301,134411,268712
14,Namakkal,25927,25044,50971,13103,12659,25762,19798,16883,36681,88375,79091,167466,147203,133677,280880
15,Perambalur,13064,12166,25230,4776,4953,9729,8342,7304,15646,29600,26279,55879,55782,50702,106484
16,Pudukkottai,38406,38155,76561,21484,22100,43584,21352,21084,42436,65846,64787,130633,147088,146126,293214
17,Ramanathapuram,28258,28603,56861,11962,11922,23884,15207,14190,29397,55353,55314,110667,110780,110029,220809
18,Salem,60349,59793,120142,34273,33016,67289,42846,36666,79512,162242,153291,315533,299710,282766,582476
19,Sivaganga,25240,25541,50781,17473,17208,34681,14974,13253,28227,57924,59173,117097,115611,115175,230786
20,Thanjavur,48217,48374,96591,21898,20614,42512,28345,25347,53692,106218,108151,214369,204678,202486,407164
21,The Nilgiris,9556,9830,19386,4439,4202,8641,15084,14089,29173,28108,28658,56766,57187,56779,113966
22,Theni,22933,22295,45228,14457,14410,28867,9005,7484,16489,59475,56271,115746,105870,100460,206330
23,Thiruvallur,55478,56322,111800,34901,33320,68221,56043,50833,106876,220574,209734,430308,366996,350209,717205
24,Thiruvarur,24913,24397,49310,14377,14937,29314,12957,11010,23967,45413,49512,94925,97660,99856,197516
25,Thoothukkudi,35814,34752,70566,18333,18489,36822,17365,15544,32909,78523,82167,160690,150035,150952,300987
26,Tiruchirappalli,50138,49688,99826,24118,23364,47482,32954,29020,61974,131397,131066,262463,238607,233138,471745
27,Tirunelveli,69806,70687,140493,38666,37836,76502,27332,25073,52405,146658,148598,295256,282462,282194,564656
28,Tiruvannamalai,51092,49805,100897,27044,27155,54199,31381,30289,61670,97738,91039,188777,207255,198288,405543
29,Tiruppur,41588,40452,82040,28209,26531,54740,25453,22404,47857,109044,109541,218585,204294,198928,403222
30,Vellore,82056,79839,161895,37592,38071,75663,44942,39855,84797,166080,164903,330983,330670,322668,653338
31,Viluppuram,71960,69757,141717,43000,45980,88980,40460,38256,78716,146088,134917,281005,301508,288910,590418
32,Virudhunagar,45385,45039,90424,18987,19195,38182,17524,16991,34515,86081,86488,172569,167977,167713,335690
State,,1304110,1277733,2581843,702764,694262,1397026,848384,765945,1614329,3401657,3336670,6738327,6256915,6074610,12331525
